"ID","atten","gratitude","guilt","indebtedness","choice","vignette","order","gra.group","gui.group","ind.group"
"5dddb4071e70dad3885f1601","I am paying attention ","Much John","Somewhat John","Somewhat John","John (no conditions)",1,"A","John","John","John"
"6508539e00904258a8a2bdf2","I am paying attention","Somewhat John","Somewhat John","Somewhat John","Peter (conditions)",1,"B","John","John","John"
"65c1158c42ae46b4f170955f","I am paying attention.","Much John","Somewhat John","Much John","John (no conditions)",3,"B","John","John","John"
"62029a55ef1cb18a1337c61a","I am paying attention","Much John","Much John","Much John","Peter (conditions)",2,"A","John","John","John"
"63d698af12a4d488c5fdf05a","I am paying attention","Somewhat John","Somewhat John","Somewhat John","Peter (conditions)",2,"B","John","John","John"
"604b9e6373c491acd8aec923","I am paying attention","Somewhat John","Somewhat Peter","Somewhat Peter","John (no conditions)",2,"B","John","Peter","Peter"
"61082e086188b2dd15182697","I am paying attention ","Somewhat Peter","Somewhat John","Somewhat John","Peter (conditions)",3,"A","Peter","John","John"
"6111997b776e4a117a04cccb","I am paying attention","Much John","Somewhat John","Much Peter","John (no conditions)",2,"A","John","John","Peter"
"5a74d7f717ef3500016ff92a","I am paying attention","Somewhat John","Somewhat John","Much John","Peter (conditions)",1,"A","John","John","John"
"6056bcf1cee7a41435889255","I am paying attention","Much John","Somewhat John","Much Peter","John (no conditions)",3,"A","John","John","Peter"
"5db783d50fcd4a000b1021e9","I am paying attention","Much John","Somewhat John","Much Peter","John (no conditions)",1,"B","John","John","Peter"
"65ca3e7cadd05f164402ca13","I am paying attention","Much John","Somewhat John","Somewhat Peter","John (no conditions)",2,"A","John","John","Peter"
"65980f73048d02626828cd2c","I am paying attention ","Much John","Somewhat John","Much John","John (no conditions)",1,"B","John","John","John"
"6516faa7fe0884acf2ada266","I am paying attention ","Much John","Much John","Much Peter","John (no conditions)",3,"B","John","John","Peter"
"5a889897b093f80001a7f1e2","I am paying attention","Somewhat John","Much John","Much John","Peter (conditions)",1,"A","John","John","John"
"65a55b77f79fb9641a532b13","I am paying attention","Much John","Much John","Much John","John (no conditions)",1,"B","John","John","John"
"63d41123bd9ac5e95fc74616","I am paying attention","Much Peter","Much John","Much John","Peter (conditions)",1,"A","Peter","John","John"
"62a7c4d5266dfb89bf94fec8","I am paying attention","Much John","Somewhat John","Much Peter","John (no conditions)",3,"B","John","John","Peter"
"654cede3e7e7f75c59cc6064","I am paying attention","Somewhat John","Much John","Much John","Peter (conditions)",1,"A","John","John","John"
"63e52250d3c1483ed7be8ed8","I am paying attention","Much John","Somewhat John","Much John","John (no conditions)",3,"A","John","John","John"
"63220fb95b15e676e19d7af8","I am paying attention","Somewhat John","Somewhat John","Much John","John (no conditions)",3,"A","John","John","John"
"5f0d06846a31b81d18e83097","I am paying attention","Much John","Somewhat John","Much Peter","John (no conditions)",2,"A","John","John","Peter"
"5e70bf61017e070009a8a738","I am paying attention","Much John","Much Peter","Much Peter","John (no conditions)",3,"B","John","Peter","Peter"
"5af709b825561e00013acd7e","I am paying attention ","Much John","Much Peter","Much John","John (no conditions)",2,"A","John","Peter","John"
"5ef8dcdad9a3d864a1dea285","I am paying attention","Much John","Somewhat John","Somewhat John","John (no conditions)",3,"B","John","John","John"
"61532109e21fff7c56edc8b6","I am paying attention","Much John","Somewhat John","Somewhat John","John (no conditions)",2,"B","John","John","John"
"5bfccf1a0ef0390001381d50","I am paying attention","Somewhat John","Somewhat John","Somewhat Peter","John (no conditions)",1,"A","John","John","Peter"
"5885f97f41da4500014d3645","I am paying attention","Much John","Somewhat John","Much John","John (no conditions)",1,"B","John","John","John"
"5a381de00006450001bf2691","I am paying attention","Somewhat John","Somewhat John","Somewhat John","John (no conditions)",3,"A","John","John","John"
"6021522cc0eec00d2e4ab6c7","I am paying attention","Somewhat John","Somewhat John","Somewhat John","John (no conditions)",3,"A","John","John","John"
"5c3003e370d93a000122ca7c","I am paying attention","Much John","Somewhat John","Much John","John (no conditions)",2,"B","John","John","John"
"63d13d00a2e69ec8e1956a07","I am paying attention","Much John","Somewhat Peter","Much John","John (no conditions)",2,"B","John","Peter","John"
"614dd661c1fb4b13a7e99d64","I am paying attention","Somewhat John","Somewhat Peter","Much Peter","John (no conditions)",2,"B","John","Peter","Peter"
"5513256cfdf99b1607b1f47b","I am paying attention","Somewhat John","Somewhat John","Somewhat John","John (no conditions)",3,"B","John","John","John"
"59ea4e1116ecc200016ff81e","I am paying attention","Much John","Somewhat John","Much John","John (no conditions)",3,"A","John","John","John"
"5c3433ea8464370001892798","I am paying attention ","Much John","Much Peter","Much John","John (no conditions)",2,"B","John","Peter","John"
"5febd397ad8fbad21bcd6182","I am paying attention","Much John","Much Peter","Much Peter","John (no conditions)",3,"A","John","Peter","Peter"
"5fc98fe1b105424d4b03381b","I am paying attention","Somewhat John","Much John","Much John","Peter (conditions)",3,"A","John","John","John"
"5dd86784dcec8782b85cb5bb","I am paying attention","Much Peter","Somewhat John","Much Peter","Peter (conditions)",1,"A","Peter","John","Peter"
