"Progress","cons","ID","atten","perspective","cost.benefit","study","gratitude","vignette","indebtedness","guilt","anger","shame","repayment"
"100","1","5d7a90912fb68c001b06a218","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","59e7d3f97f3d71000171def0","I am paying attention","borrower","benefit","1a","high",1,"high","low","high","low","low"
"100","1","6325b8a7fcafb1208f542e93","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","615bb35e52d50aa9a2ae6747","I am paying attention","borrower","benefit","1a","high",1,"high","high","low","high","high"
"100","1","628794619215a22e47b640bd","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5fac037f8861fb0f18c0b24d","I am paying attention","borrower","benefit","1a","high",1,"high","low","high","low","high"
"100","1","63d569384ae2cf6d4dce7c32","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5b2489070ec82d0001d1dbb2","I am paying attention","borrower","benefit","1a","high",1,"low","low","low","low","low"
"100","1","641359b5040c453203e2c088","I am paying attention","borrower","benefit","1a","high",1,"low","low","low","high","high"
"100","1","63a3a7777f64f5e056a3dd79","I am paying attention ","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","63d3fec908b40217bbd48993","I am paying attention","borrower","benefit","1a","high",1,"high","high","high","high","high"
"100","1","5e9f3f09ccc75a0c345e4845","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5bf9bd81549c180001dab194","I am paying attention","borrower","benefit","1a","high",1,"low","low","low","low","low"
"100","1","6112c911a83cc494df38b468","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","64014c946836cff56fc1a22f","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","6282575ebe32fdc6268babc8","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","63f0e61bbeb61d5ced623832","I am paying attention","borrower","benefit","1a","high",1,"low","low","low","low","low"
"100","1","61507c30291069d83501fdad","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5cf5c14bada72300156a4521","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","627286792f25495f123cc27b","I am paying attention","borrower","benefit","1a","high",1,"high","low","high","low","high"
"100","1","64069f0b2609091b2ec18bd4","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","63d4393f67ae4bf53fce7c48","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","5d338bb02381b7001761694e","I am paying attention","borrower","benefit","1a","high",1,"low","low","low","low","high"
"100","1","63bd8c8f03965fcab1bbb917","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","615c5d5d1768e12bba80f289","I am paying attention","borrower","benefit","1a","high",1,"low","low","low","low","low"
"100","1","611465b0cdf9e7bb34a05898","I am paying attention","borrower","benefit","1a","high",1,"low","low","low","low","high"
"100","1","5d6349209b22da000117b1bd","I am paying attention","borrower","benefit","1a","high",1,"high","high","high","high","high"
"100","1","5ab3fc4b5f01000001cb07e2","I am paying attention","borrower","benefit","1a","high",1,"high","low","high","low","high"
"100","1","5eb5a7321cf74d4601b8df1e","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5c27e76978fad500019328cc","I am paying attention","borrower","benefit","1a","high",1,"low","low","low","low","low"
"100","1","5f0c7ea47cf1495f4587f741","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","62926b2bba027005e0a84475","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","643ebfff661435ecda5a3580","I am paying attention.","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","558fff05fdf99b3f7aada357","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5dda993086c886a06ce9108d","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5eea479c14742d0ad3e11468","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","6234866ad5f13fac2a5cf725","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","62e0532289a4e5d9fedadde1","I am paying attention","borrower","benefit","1a","high",1,"high","high","high","high","high"
"100","1","6109dbf2714f8d7abc2fec1d","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","570b7b5fb9b52b00102d96f9","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","5ef4d8b87faaa00c0dea0c4e","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","62cd9b920ed1b7c1648818d3","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","6266db0dcf3e4f16fb9d7c56","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5d849ee0a954540019f513dd","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","62c63362e7342ad8be294866","I am paying attention","borrower","benefit","1a","high",1,"low","low","low","low","low"
"100","1","55fb250177f33b000ccb212f","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","615ddab1e4f013092538b6c5","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","64601d5bf3f4d849a794097c","I am  paying attention","borrower","benefit","1a","high",1,"low","low","low","high","low"
"100","1","63f7837e2f09cd534ebfd193","I am paying attention","borrower","benefit","1a","high",1,"high","low","high","low","high"
"100","1","5b5a822e1ad8270001c4f28d","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5ecc6ffce3ca77849333e83e","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","628e4f0118e498792b2ee35e","I am paying attention","borrower","benefit","1a","high",1,"high","low","low","low","high"
