"ID","Gratitude","Guilt1","Guilt2","Indebtedness","Cond","Gratitude.T1","Guilt1.T1","Guilt2.T1","Indebtedness.T1"
"61017da19267316089e9b3bf",2,0,1,1,"High",6,3,4,4
"614227ca2722b36a2e6a593b",3,1,3,2,"High",6,3,7,6
"5c5c3cd40716650001ed9e49",3,3,3,3,"High",6,6,7,6
"5fc17c03d0cabf16011a647b",0,0,3,0,"Low",6,2,6,3
"608b0536050591bc22be9e84",-1,0,0,0,"Low",6,6,7,5
"5ecee140004d572f486073b4",3,3,3,2,"Low",6,6,7,5
"5f4dbfdf75b52598a859b99d",1,2,1,0,"Low",5,4,6,4
"6150803199de6a42a209bad1",3,2,3,0,"Low",5,3,6,5
"58afb786f97de10001d131a1",2,3,1,0,"Low",5,5,7,5
"615e41558dc8efdab16afe00",3,0,2,3,"High",6,5,7,6
"610780206be30ed2242dc5e0",0,-1,3,1,"High",6,5,6,4
"5f5d48f1c6768e5bcae08170",0,-3,-1,-1,"High",6,7,7,6
"5e8b0faa3d71b07b69ef26f4",0,0,0,0,"High",7,2,7,3
"5d33ff76f665c6001ab9aa1e",3,3,3,2,"Low",6,7,7,6
"61088bfc77f5657c993c2434",0,1,3,1,"Low",6,6,7,5
"5c80321274a33f0001e9087f",3,-1,3,2,"High",5,3,6,5
"5fadebb39dc2c0218d460645",3,0,3,1,"High",4,6,6,3
"6119e2fc2605933b16ea87c0",2,-1,0,-1,"High",6,2,7,4
"60f030dca19a06db1b50d16a",0,2,3,3,"Low",6,5,6,6
"61001ed84f0d2e8d0a00e6e9",3,3,3,3,"Low",7,7,7,7
"5fb93955fec8e17451e22dce",2,2,2,2,"Low",6,2,4,4
"60fdb51512efb19804590ca9",2,-1,2,2,"High",7,7,7,7
"610ff301b2cdc3acd8e1a0cb",0,0,0,0,"Low",7,5,7,6
"61250f964ae78989c127dd4a",2,-1,-1,2,"High",5,6,7,5
"613a2c0e43daa15facdc10cc",1,2,2,0,"High",6,6,7,5
"60fd021e842d3a8a5a139787",2,3,3,2,"Low",7,5,7,4
