ID,atten,gratitude,guilt,indebtedness,choice,vignette,order
5bfaadc28422770001d9748f,I am paying attention,Somewhat John,Somewhat John,Much John,John (no conditions),3,A
5e5f54ac39305b288ba868b6,I am paying attention,Somewhat John,Somewhat John,Somewhat John,John (no conditions),1,A
61016733d7fb15b556859f3a,I am paying attention,Much John,Much John,Much Peter,John (no conditions),3,B
616f8d00c535fbf8605e30bb,I am paying attention,Much John,Much John,Much John,John (no conditions),1,B
5c5b38d5cca9e000010a07c4,I am paying attention,Much John,Somewhat John,Somewhat Peter,John (no conditions),2,A
6122b675852a3137f09aee79,I am paying attention,Somewhat John,Somewhat John,Somewhat John,Peter (conditions),2,B
610dd3518c94a61869755e75,I am paying attention,Somewhat John,Much John,Much John,John (no conditions),3,B
5e1a10b9e8a66327ebe86b79,I am paying attention,Somewhat Peter,Somewhat John,Somewhat John,Peter (conditions),1,A
6150c47994e2e7b7839691e3,I am paying attention ,Much John,Somewhat John,Somewhat John,John (no conditions),3,A
6119fc2220fa6c5e7d2bf857,I am paying attention ,Much John,Much John,Much John,John (no conditions),2,B
5d15744738325b000192e6d7,I am paying attention,Somewhat John,Somewhat John,Somewhat Peter,Peter (conditions),1,B
61042c449862500ab440383c,I am paying attention,Somewhat John,Somewhat John,Somewhat John,Peter (conditions),2,A
5f4c6bee4aac5777aa9fc9cf,I am paying attention,Much John,Somewhat John,Somewhat John,John (no conditions),3,B
612fa80a473109e616fcafcf,I am paying attention,Much John,Much John,Much John,Peter (conditions),2,A
5ce33b8cc1abd0001b612669,I am paying attention,Much John,Somewhat John,Somewhat John,John (no conditions),2,B
616e47ec3824281fd693ce4c,I am paying attention,Somewhat Peter,Much John,Much John,Peter (conditions),1,A
610034d820d5311adf6bd832,I am paying attention ,Much John,Much John,Somewhat John,John (no conditions),3,A
61523a9abe7a56d2e2ef6b5f,I am paying attention,Much John,Somewhat John,Much John,John (no conditions),1,B
614dd304ed948bbfe8c22215,I am paying attention,Much John,Somewhat John,Much John,John (no conditions),2,B
5e56b92cde84f602ff0ae398,I am paying attention,Somewhat John,Somewhat John,Much John,Peter (conditions),3,B
5f970d4552da08066b26476b,I am paying attention ,Somewhat John,Much John,Much John,Peter (conditions),2,A
614676e4341b29be1e80db43,I am paying attention,Somewhat John,Much John,Much John,Peter (conditions),1,A
