"Progress","cons","ID","atten","LC.3A","perspective","cost.benefit","study","gratitude","vignette","indebtedness","guilt","anger","shame","repayment"
"100","1","5ba3e0889ac9510001bf1c00","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","61117e8d9c4878fdd4551e02","I am paying attention ","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","559c3e07fdf99b32b55f2d8d","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","63c5cc58cfe69ba17880c392","I am paying attention","","borrower","benefit","1a","high",1,"low","low","low","low","low"
"100","1","5e28f70500bb310cf3934256","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5db4f0b63e33f2000dd54016","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","629534afc0924e49e1464589","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","610f5cd874c399fb78a9f826","i am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5e307edef5abed05e1736185","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","5c661b3eb1b0080001bfb2c4","I am paying attention ","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","62a0b34cbcc5987a8fa73c39","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","6563507a7389aac2354b8a31","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","65957b97896708cd25109c8b","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","low"
"100","1","5c3a865019ceb400010c914a","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","low","high"
"100","1","65c38e1d588d5d2f11474b3c","i am paying attention","","borrower","benefit","1a","high",1,"low","low","low","low","high"
"100","1","5c78b032419dcc0014119082","I am paying attention","","borrower","benefit","1a","low",1,"high","low","low","high","low"
"100","1","5f4df2b4bdb2449bd751ce51","I am paying attention","","borrower","benefit","1a","high",1,"high","low","low","high","high"
"100","1","63841b0a77166c22d8b325f5","I am paying attention","","borrower","benefit","1a","high",1,"low","low","low","low","high"
"100","1","62a89318448a8592fc88ee03","I am paying attention","","borrower","benefit","1a","high",1,"high","high","high","high","high"
